Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Canada,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,51.031579,55.909063,59.063393,62.499916,63.085715,64.188655,64.518001,61.484049,58.710246,52.917709,46.190936,46.009595,42.917029,40.477502,36.570606,36.145127,33.70055,29.826224,34.812998,42.658149,43.272009,44.226163,45.349885,41.578039,39.85118,42.458473,41.360935,38.95003,36.625266
Central African Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.267715,20.382721,20.533689,24.718758,26.615188,25.136174,25.38361,26.492999,24.295677,20.358664,30.89648,35.061073,36.41552,40.364878,42.054947,38.926429,40.96401,48.81114,48.756173,50.887761,44.566275,55.776128,57.416969,68.220389,103.44409,83.828781,92.986685,88.462828,85.321399,84.161825,94.679124,103.11495,98.518256,95.88629,99.723518,102.96241,46.749964,47.850796,35.765994,20.300304,19.883381,19.686291,31.532795,51.789588,62.239951,59.790414,53.8873,50.292352,49.939405
Chad,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.100163,15.743067,11.318839,12.251058,16.39084,21.49462,24.463783,29.90073,32.609357,41.705329,40.819996,30.893945,27.019295,26.499705,22.452259,20.700147,20.635891,24.038675,23.754461,25.496705,27.788922,33.750776,38.431212,48.45117,57.113196,53.348583,52.555769,53.597817,45.011346,57.966433,67.984918,56.448863,54.432,44.656,32.635,28.483974,26.165961,22.058551,19.882272,31.551391,30.053712,30.565809,28.771867,30.519281,41.545109,43.881635,51.491819,49.763777,48.298043
Chile,9.1905387,8.0924881,8.6011018,6.9616212,5.5768784,5.071552,7.2583835,9.2966036,9.0234463,9.60383,7.0171629,7.9652915,6.9866759,9.2292599,9.6035108,12.594463,12.605707,14.885094,17.85049,21.472357,26.325169,20.020466,10.063418,11.073551,18.822369,28.362523,19.541076,16.54889,25.963645,23.23139,17.386219,14.019356,20.314448,45.497297,56.624488,79.776566,88.391532,81.597299,71.157911,51.898403,50.2569,44.258131,36.117886,32.569692,29.05756,22.305876,16.927463,14.471602,14.675317,16.074744,15.579543,14.458577,15.167602,12.716848,10.299059,7.000668,4.9892071,3.8786862,4.9208174,5.8203545,8.5599218,11.088428,11.945484,12.732346,14.95717,17.27532,21.019379,23.539501,25.560006
Colombia,5.663347,5.0959246,5.0824492,4.712912,4.8602616,4.0443356,4.441314,4.9033899,5.8882389,5.1103201,4.8893935,6.2901787,11.904349,12.067548,11.402017,12.494029,13.931483,12.652185,13.470812,13.999067,14.487919,14.729147,15.178782,14.12118,13.712494,12.440925,10.96867,8.4513779,6.7683286,7.2656476,7.3575956,7.7730031,8.2127037,9.6299527,13.29886,16.561571,19.532468,18.638594,18.022076,17.153159,16.681503,14.876166,16.511035,14.366213,12.388406,8.8263285,9.287961,11.778702,13.731038,20.379089,26.538305,31.15443,37.234626,36.758879,35.085759,32.804112,31.108769,27.282662,27.248739,28.868869,29.566113,29.131682,27.35394,29.588704,32.885041,37.299262,37.375775,38.303719,41.755862
Comoros,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,151.30994,143.75186,137.3914,129.39761,120.28208,113.93562,108.36808,104.07539,101.17687,95.9176,87.962025,77.864423,75.525219,71.054325,69.536408,64.623598,60.818169,53.046257,48.238704,44.497791,42.44646,39.8646,38.478977,36.157103,33.418317,31.829406,30.394472,27.32839,24.976122,10.464485,13.496465,14.26558,16.938867,18.385661,20.971376
"Congo, Republic of ",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,36.441144,37.937104,35.085314,34.165381,40.916112,45.826536,50.479552,59.031482,70.196681,65.546763,66.700383,86.026668,129.15178,149.30518,166.08283,198.8548,176.77041,172.97339,167.55782,157.6442,161.57518,158.51611,145.21249,166.14044,270.18262,262.80856,212.20836,219.98886,264.44341,231.6321,163.22342,195.7844,180.28928,204.37199,198.67939,108.27148,98.815544,110.59827,79.356575,86.704461,46.345212,36.189912,38.979439,43.309258,53.640202,102.93948,118.56882,117.50797,87.844654
Costa Rica,29.384509,25.639386,21.474547,19.528352,16.056891,15.797753,15.292321,16.233403,14.235339,17.069255,16.11956,20.308606,19.68242,21.793667,22.714927,24.077892,24.748158,26.672997,27.690327,25.671494,28.729665,30.537307,31.960018,32.947866,30.46513,26.168029,29.605274,27.901696,41.865165,39.658222,37.861271,32.387509,31.949233,29.899295,25.321978,22.913809,26.239957,21.265088,18.294208,19.382654,18.614329,28.2048,23.28747,24.432386,27.01518,29.140029,33.859819,30.711314,40.89062,39.146528,39.016778,39.800362,41.623694,40.744477,41.151797,37.468061,33.160461,27.069877,24.086691,26.150811,28.378379,29.85263,34.303977,35.94066,38.546393,40.984536,45.075103,48.664702,53.548893
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,44.180951,17.381949,15.010566,13.143682,10.383546,9.1872317,27.198128,31.020938,32.01123,30.946503,32.799741,34.933838,35.869887,33.405555,31.898402,37.362158,46.310657,56.398222,62.996485,68.759197,79.475896,82.983934,82.890588,79.52221,76.877191,73.633397
Cyprus,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.208174,87.497867,92.069117,95.688542,96.250742,95.884122,90.57028,84.879955,77.337295,89.102412,93.235586,103.5363,119.12753,145.15073,151.0292,150.56291,146.38127,135.56742,142.83123
