Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Saint Lucia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.721018,17.724514,18.016675,18.320881,19.138238,19.212281,21.842085,20.73227,20.270658,18.968812,22.065472,24.813872,25.618583,26.534572,25.576901,26.871086,30.398308,32.897044,32.25947,36.250607,42.552284,54.525391,50.927138,55.363851,57.973795,54.243367,50.981363,51.749886,55.774234,56.108964,59.880285,67.438078,69.439053,69.975878,66.527661,67.271452,66.429331,64.915427
Saint Vincent and the Grenadines,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,5.2050268,2.2030368,2.2986775,7.6872377,7.7023399,15.420646,14.065656,17.257177,16.097186,17.296035,16.747698,20.599262,23.558989,24.70079,24.009959,23.376164,28.554595,33.584926,31.542186,33.600006,32.621156,32.653857,33.525811,34.281793,38.73084,39.049031,37.617607,36.122685,38.197974,no data,49.841582,49.098488,51.60283,52.24013,55.549794,46.177272,38.870653,39.097918,38.949096,45.918351,53.641714,57.009312,60.929068,63.150406,68.645497,67.648434,68.356548,61.81846,64.024987
Samoa,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.1285492,6.3960767,11.580201,17.401095,20.057885,22.998985,29.813393,38.019006,43.825667,48.330612,55.15761,72.224056,62.634851,60.630119,62.268744,63.786291,59.279422,59.884773,53.8042,52.894628,51.825966,65.530016,61.974907,71.826182,98.820376,74.111578,65.651776,60.497982,60.466577,60.976275,57.206727,55.170083,51.583695,43.865599,40.86884,35.031219,34.359214,32.277261,28.9059,32.312312,41.164806,42.129095,49.161965,53.604163,54.403633,57.780121,52.581154,49.098947,50.318626
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.914002,14.477956,14.154407,12.959619,15.813081,20.424317,20.337229,19.47607,23.3097,34.975172,32.862652,33.502745,35.245952,76.641183,77.949532
Saudi Arabia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,11.832593,16.093965,39.351856,47.799537,58.59852,67.869552,74.247652,75.206161,76.704149,101.5232,102.99179,86.701772,93.147799,96.351697,81.564231,62.928202,37.342436,25.830841,17.115431,12.055995,13.989038,8.4259843,5.3830814,3.0363357,2.1478295,1.5618864,5.7998488,13.092574,17.159603,18.979589
Senegal,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.223946,14.770717,13.894553,15.362896,18.487455,14.572091,18.478695,21.538568,26.328453,26.762579,30.510307,37.479502,46.208725,57.563909,59.913741,65.052002,59.359179,61.883129,62.178553,52.764645,49.984294,50.638869,48.874702,52.13757,74.786086,63.668248,61.171672,67.298073,18.83643,15.169272,57.995102,56.028601,53.694294,43.208472,37.592354,36.070393,17.250049,18.550982,18.889233,26.850086,28.305945,32.715174,34.172309,36.76931,42.372275,44.510311,47.527224,61.232211,61.550951
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,71.643886,62.09087,51.195441,37.754944,30.931202,30.07061,33.326695,40.319663,42.666524,53.210165,56.299579,66.431954,70.020737,67.873976,57.906131,53.820616
Seychelles,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.6624319,6.1843208,6.2371163,7.236555,4.4808766,4.9492924,no data,no data,2.9408644,6.0500053,7.4158235,12.387954,15.270106,26.525023,31.506796,36.994121,41.302055,39.918652,36.307254,41.033281,79.905135,82.179744,123.45265,133.52237,146.66102,143.01253,161.24034,159.7868,177.83717,199.78682,195.85988,176.97492,163.22583,144.06428,135.07054,144.04845,192.10236,106.12531,82.223527,82.508384,80.06926,68.198972,72.73117,67.014539,69.047749,63.159971,56.919513
Sierra Leone,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.448717,21.814798,21.780543,25.685188,29.200498,29.3417,34.272613,38.194989,41.146687,39.943602,44.032628,50.636122,52.581023,55.229589,45.771962,60.56115,73.20378,90.875056,57.16623,60.907475,123.28293,95.730991,126.84764,126.6759,168.61753,128.1641,117.11563,126.02512,148.91369,146.14524,143.23099,132.78648,126.23944,123.64958,119.88113,111.69906,103.22887,42.165633,42.374188,48.050382,46.849097,44.751126,36.765491,30.544877,34.96543,44.943057,55.457472,57.890346,62.994444
Singapore,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,15.62439,18.706167,19.779297,21.140679,26.753749,37.333296,35.242696,35.515524,42.084021,46.211424,37.400209,34.566298,40.767384,49.222483,55.260422,58.214807,58.63669,56.705554,56.464813,61.005497,65.77198,67.282605,78.713157,82.638466,84.027926,78.287291,75.37242,75.600456,77.899521,82.069947,73.891394,69.369948,72.027722,72.378376,71.360931,83.414799,87.860515,83.842171,93.936375,97.223022,101.75937,97.597527,94.966788,89.370246,89.447102,96.44771,106.40023,101.27925,104.49802,107.51031,99.031232,99.259402,102.95959,109.06096,110.65389,114.34409
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,35.532221,34.825322,33.899683,42.617023,46.968104,49.214528,58.525491,57.938836,57.118361,56.663536,56.823327,55.614383,55.085771
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,16.206775,15.824101,16.521402,19.948547,20.305214,20.965367,21.638894,22.429453,24.248521,25.157063,24.288726,24.162529,23.993207,23.360114,21.0856,18.936012,30.570671,32.682219,40.899432,46.440237,60.337232,69.126063,70.211721,67.206743,66.856624,63.776767
Solomon Islands,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,7.8802765,8.3009855,10.736561,11.671019,15.304981,20.266261,24.480375,40.863059,55.960229,74.420338,71.780662,72.622623,63.092297,66.065357,54.301863,51.348196,44.686186,39.635893,35.199305,32.668652,39.077058,38.492437,43.549889,55.153247,64.673922,70.679618,58.170288,53.259408,48.362672,43.906169,35.490675,33.853792,28.527227,20.648339,16.957271,15.33462,11.919396,10.147872,7.9217988,9.5056804,9.4220681
South Africa,44.582861,43.361631,41.819824,40.557599,39.775032,38.971325,37.852701,37.644545,42.332013,41.079221,38.353052,37.484916,37.623956,36.015749,33.9598,34.182369,35.665172,34.725101,38.374515,37.618164,36.153925,36.420062,39.063558,36.769716,32.715431,35.627541,37.85443,39.297646,39.657698,37.086136,30.920035,28.970318,30.06506,30.500051,30.240833,29.304728,30.086396,30.75042,31.023981,31.234455,30.51132,33.475824,36.118763,40.239106,47.825114,48.23399,47.772415,47.398228,47.439533,45.161742,42.210173,42.401811,35.547313,35.427519,34.392665,33.212303,31.355116,27.0607,26.506767,30.079312,34.67616,38.227988,41.000912,44.102575,46.987543,49.334709,51.464559,53.02161,56.709997
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.9057282,17.586984,38.325065,60.263698,85.702232,63.174813,42.220106
Spain,46.221943,39.96165,38.903838,40.299852,37.939348,38.872555,35.29019,34.051233,30.015644,29.387407,30.027711,27.479915,25.455936,22.144576,18.782482,17.599156,17.103868,16.963473,17.506086,17.936815,17.982586,16.910681,16.591479,15.477864,13.100426,11.579896,8.0069632,8.5575561,9.7588349,9.7104246,9.7553538,10.399658,11.583411,12.99764,17.734361,30.388137,35.235125,36.250367,36.683699,33.067137,34.481664,35.98972,36.114649,39.405957,49.151699,51.584538,55.122816,53.988733,52.354391,51.015086,48.713936,45.10041,42.917401,39.889816,38.533954,35.655348,32.378701,29.50287,33.045298,45.194255,51.025884,58.315515,73.268412,82.888098,86.959415,86.984832,86.666658,86.664034,86.6769
Sri Lanka,no data,9.9771379,14.764214,16.982158,15.234459,13.0188,15.421341,17.789762,18.810274,21.852733,25.587813,29.749761,33.36087,30.243181,30.979527,33.327332,36.147171,37.628963,40.148159,37.956445,35.333782,38.451091,39.420874,38.287846,35.669977,37.555722,44.150452,59.545671,62.162537,58.12552,62.779746,64.294552,68.557631,68.406183,58.156569,68.714245,74.284459,82.216082,85.34932,91.853868,81.596103,83.203945,80.566782,81.837624,80.520165,80.427129,78.794554,72.509016,76.743231,80.311914,81.869663,87.205245,99.544617,89.361611,89.412095,79.168753,76.791438,74.268455,71.098871,75.20018,71.569732,71.108043,69.60878,71.775785,72.216596,78.486864,79.016411,77.378217,83.282697
Sudan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,495.20051,285.89497,386.47431,239.0214,220.87671,167.67101,179.66497,160.48798,143.24842,125.58747,121.71975,117.35315,97.804071,75.477386,63.70629,53.691937,55.756401,70.994946,74.567907,78.113173,117.67133,105.75246,84.425689,92.150367,128.37863,159.17971,212.07496
Suriname,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27.0984,30.003983,27.966455,26.825959,4.9631962,4.9882235,3.0822239,no data,no data,no data,no data,no data,no data,36.229734,50.295329,71.552868,no data,no data,no data,78.038358,81.065918,68.943095,54.664843,32.655561,17.408837,12.602858,17.968215,23.175504,34.588391,38.26924,39.825977,38.117821,33.505688,31.569762,28.896027,23.949716,17.43218,15.634401,15.573285,18.46862,19.979135,21.44922,29.562634,26.378361,43.356574,75.181153,78.048179,72.761806
Sweden,36.899215,30.692864,28.020075,27.78823,28.305143,28.124171,27.46236,27.858573,28.950242,28.454047,28.095799,25.41194,22.417638,20.251099,18.249312,16.479433,15.495212,15.626094,17.170292,17.083829,17.585287,17.545846,17.997214,18.781699,19.757381,22.488626,21.76265,24.381061,29.282393,34.881612,39.73723,45.897002,53.361852,57.784493,60.090807,62.177517,59.84807,54.657938,49.05221,43.715931,40.786511,41.989148,53.90451,68.875651,73.367526,75.95448,78.337976,79.672861,78.741365,73.607794,65.164553,57.567496,54.715073,53.17739,51.801951,51.963446,47.118315,41.647294,39.501016,43.008945,39.51799,38.372225,39.145499,41.812492,44.398822,43.119236,41.173364,39.629967,38.027073
Switzerland,39.719101,36.376049,34.078942,32.59916,30.854877,27.986032,25.545983,22.0601,19.917787,18.38911,15.904736,13.645576,11.75547,10.519458,9.1065552,8.0407493,7.3991279,6.9901919,6.761049,6.5182136,5.8984173,5.6889169,5.2998885,4.9924651,5.7532954,7.5397954,12.954353,13.287606,13.548047,14.131634,13.197978,12.487349,11.925926,11.706478,no data,no data,14.093025,13.473862,12.889859,11.599181,11.318298,12.144214,14.479493,17.085871,18.289057,20.002053,21.293661,22.945329,25.033847,23.12164,22.742953,22.329982,25.615911,25.595457,25.46537,25.193974,22.328784,19.938985,19.15581,17.970253,17.111171,16.770808,16.832123,16.424959,15.775113,15.017143,14.010512,14.505819,13.196511
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.960461,52.077363,49.961031,40.528243,37.978098,36.319595,46.867889,53.078013,60.025004,54.840852,60.443691,60.87967,84.584103,101.21579,116.46968,138.04789,127.94741,113.07976,138.62457,203.84517,189.75659,182.42463,173.62143,171.93947,162.98122,152.64233,141.47887,147.6234,151.22536,147.69772,152.09445,144.48996,132.42709,133.37035,113.04721,50.710288,44.977268,42.671884,37.319159,31.212095,30.024411,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.4039941,18.604705,22.221295,34.234599,34.97847,45.534539,56.533562,68.39409,74.242912,65.693322,77.384955,101.07296,114.23569,110.55462,138.76997,176.47375,143.60555,152.10294,228.88042,677.18031,495.94864,460.12521,526.18291,485.11581,410.1422,362.3849,325.59271,347.3784,295.74765,269.63683,103.80845,58.549322,72.416752,79.538546,78.019449,81.036875,71.15066,69.457256,85.797345,95.297494,91.708136,74.520738
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.6792831,3.8582764,4.7362915,4.4900015,5.3123326,10.095306,12.868936,13.485914,14.896865,15.24139,15.855602,14.597393,13.375165,23.673785,27.164099,26.677607,28.495159,28.860459,29.354469,28.658322,27.733116,28.728411,31.83435,32.129659,33.192877,34.018923,33.78882,32.74384,31.581384,31.110478,30.612226,30.236986
Thailand,6.5506944,6.8920303,8.1559585,12.830607,16.519987,13.297036,12.740316,12.57232,14.985882,15.246862,14.260816,12.878168,13.411358,12.58435,13.329219,14.81861,14.398606,15.031564,15.533926,17.696902,18.534656,21.546571,26.770764,21.168797,16.3229,15.761899,21.982281,22.390652,22.767753,23.693011,22.147545,24.369814,27.105147,28.920416,30.648909,36.761205,40.143735,38.772444,30.33257,23.720619,17.796372,12.967957,10.490877,8.1862109,5.6932197,4.6101002,3.6734967,4.6415312,10.669844,20.0058,21.964574,24.578279,30.070356,27.046023,24.396438,24.392201,23.261117,22.604001,21.99186,26.795897,27.779262,27.315354,28.457899,29.632393,29.890924,32.090138,30.632423,32.535938,34.019765
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.00032522,0.11280369,0.54593492,1.5168075,3.0831995,4.2828212,5.3056793
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.409406,12.931061,10.57346,13.896341,23.203408,24.917316,34.000275,45.834541,69.344649,81.071741,71.1457,76.645461,83.75018,89.552139,83.818271,92.537593,76.040729,76.318712,69.253468,62.507671,60.340297,63.220945,60.742992,78.636918,106.50997,87.439189,81.471779,73.353371,84.73592,80.802052,89.688461,92.385107,73.968837,67.414944,65.695208,85.094276,91.3848,102.33107,92.728397,80.553716,46.302047,47.341168,47.997724,57.227744,62.78462,72.110854,81.356477,75.95224,76.151906
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.1922,40.053,46.143,42.4323,40.2573,49.7617,42.2815,39.778,no data,no data,35.272455,31.516018,32.759176,36.029556,37.162112,42.178508,50.307541,57.616343,54.85977,50.452891,40.027316,38.957114,35.730274,33.526342,37.607991,42.549849,50.032679,54.954925,48.286453,46.045445,50.024079,48.333671,44.773296,42.931478
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.350808,13.605302,14.270355,13.944566,no data,14.967988,15.947621,21.701316,16.186711,17.569375,17.243256,13.741155,11.514231,9.5106209,no data,15.849355,13.657563,5.9622349,8.3020986,7.4548898,10.623518,15.612205,16.385408,35.89354,45.586717,48.987495,51.134904,47.708453,49.477126,49.151961,58.785715,52.581695,50.13765,46.980013,46.114243,42.776458,42.15215,38.911381,36.612571,35.619038,29.045242,23.207829,19.012299,16.207078,15.653623,13.020745,20.03864,19.582732,27.976857,24.564476,24.521163,23.564256,27.906355,38.784635,42.534903,44.941716
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.407147,36.010934,31.318079,31.041736,29.246943,27.266059,29.625175,32.588621,35.435826,33.561409,31.249514,32.09541,34.960188,37.64646,38.552642,41.367936,51.415482,46.825772,50.673688,48.755593,50.031942,55.990236,50.680665,54.208099,54.144086,52.806058,50.800594,56.938306,54.188785,55.575608,55.008533,56.560842,55.906514,54.520996,54.101214,52.421963,47.951972,44.793897,42.016927,40.690041,39.217248,43.067993,47.676355,46.84503,51.529027,55.429287,62.27973,70.576147,77.009485
Turkey,11.631097,no data,no data,no data,no data,no data,no data,no data,9.3289891,8.0147326,8.7707352,12.721452,12.728157,13.241319,12.426969,15.866588,16.162308,16.098319,16.617063,16.161497,20.252529,17.878527,16.277253,13.171109,12.030612,12.472812,12.337146,14.727368,15.674891,17.807031,24.797394,25.736872,29.46675,29.252852,36.908581,38.380722,32.931308,37.685367,38.58673,30.435408,24.679377,27.25194,29.081496,29.795005,39.328844,31.70504,32.746839,32.20849,30.334204,38.925233,37.363541,72.599291,67.651373,60.518137,54.932322,49.270806,43.77722,37.918998,38.282687,44.240641,40.874151,37.223248,33.949826,32.391477,29.959764,29.001635,29.133381,28.177207,28.652085
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,50.652359,64.409923,52.61403,43.5079,26.899118,19.077586,13.34975,9.0075535,5.3788485,3.3344282,2.4155014,2.8091011,2.4359879,4.0350729,10.048119,18.066189,19.985476,16.812931,21.816341,24.068324,28.820096,29.139628
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,39.425635,39.803853,34.620707,37.492806,31.111829,27.425255,24.156603,27.491504,27.285768,64.464941,56.902883,47.222575,36.971872,28.146742
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.357384,15.353585,17.539802,20.096149,20.705169,16.453933,18.589728,11.919982,12.070403,10.051116,18.131942,16.522862,16.715933,34.4679,35.096133,42.654066,35.488086,no data,no data,no data,no data,183.14581,114.51365,79.218427,54.844259,60.87706,61.867595,57.342382,58.507875,61.913037,62.986197,66.62911,70.986928,71.542763,63.53292,55.224789,36.015743,22.025636,20.310698,19.193526,22.415236,23.399686,24.526525,27.766315,30.698708,34.273901,37.06587,39.710592,41.367616
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.151822,24.36603,28.891838,46.537364,58.958849,43.789532,36.690025,33.579563,29.380226,24.798092,17.740632,14.800602,12.266637,19.846941,34.738726,40.046047,36.394284,36.699789,39.9109,69.369328,79.330617,80.901967,71.79915,60.930639
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,58.519254,56.696906,55.431946,54.074176,52.014863,48.676221,48.554019,46.101573,44.763322,44.187987,44.092198,43.270686,42.714706,40.545149,35.185692,30.431005,28.215332,29.085527,34.156312,38.975976,42.153096,44.576368,44.444629,42.444884,40.568663,39.382326,36.632698,33.955675,33.954179,34.988301,37.832158,38.942706,39.765278,40.762481,48.797566,62.865784,74.255575,79.837901,83.124107,84.232068,86.071588,86.909806,86.866674,86.098753,85.732796
United States,78.199645,68.201929,66.341449,64.602206,64.955715,59.520558,55.370304,52.249566,53.659927,50.901287,48.843131,48.71073,46.683625,45.101255,43.08586,40.284211,37.597638,37.44479,35.810768,32.959059,32.588675,32.445719,31.069127,28.572192,27.511703,31.083993,32.216335,32.125633,31.204295,29.793497,30.59302,30.326736,34.479185,37.391818,39.204934,42.897649,46.37764,47.564265,47.956631,47.996295,50.079413,53.553833,55.797709,57.389579,56.698261,56.353742,55.722561,53.095523,50.067424,46.85378,41.378347,40.6636,42.100453,44.669945,45.489038,45.621831,44.830592,45.238248,53.613096,65.10121,73.926408,78.816105,83.081135,85.431799,86.036021,86.828902,89.26581,88.805993,90.497535
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.6648257,10.148846,9.9540866,7.6414318,8.3044834,8.8678986,9.4584993,7.9211907,6.15448,4.3396296,5.0084721,4.7124959,14.701939,23.088925,43.048863,31.674725,37.752304,40.725797,38.001251,no data,28.5711,22.253382,24.249585,21.781443,21.059973,20.192093,19.920533,20.460019,21.142794,23.60639,29.525488,38.748488,91.618546,94.042068,75.76157,68.125951,62.2887,53.034768,52.271454,45.16506,40.160136,39.918065,38.752849,38.888246,39.674437,47.737606,47.10675,47.454312,50.541887
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.772974,4.5366269,3.9908142,5.0520382,6.5515646,8.2237311,13.661943,14.471379,18.190797,21.159561,20.785708,21.035954,20.273835,21.599129,24.061594,23.058176,22.943197,28.045864,30.619489,36.10835,37.035863,38.80623,38.263811,30.412225,26.273755,22.160739,19.109891,20.61243,20.520278,19.3549,20.707463,18.444521,17.620015,24.832311,34.665111,45.158441,52.093723,51.412762
Venezuela,0.12430238,0.05382131,0.35050072,0.23841686,0.18624817,0.14922871,0.11176471,0.07841986,1.9606248,2.6690405,5.3624121,5.7683605,4.7742489,4.0860469,3.6188002,3.8016647,3.7575062,4.3901681,5.1471102,6.2144696,6.719296,7.2350031,9.1949335,8.676342,7.6313808,5.7868262,9.6402606,12.671061,16.566912,19.230983,16.635091,18.893644,18.593464,21.392069,36.396135,34.1026,45.86709,58.278134,46.294136,61.831966,63.261968,62.191092,54.805706,57.746981,63.891448,45.904407,45.904075,34.855252,31.156407,29.785292,27.359836,29.553405,35.34075,47.484202,37.654814,31.672707,24.069227,19.151238,13.980853,18.202972,18.349001,25.160421,31.595699,45.114354,44.538799,50.875228,no data,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,279.49985,225.52385,171.59822,133.9748,108.74649,92.571936,74.456176,77.752141,75.758943,41.680036,39.866228,40.700055,44.159717,39.676454,37.737855,34.004129,33.589704,32.652571,no data,51.7,50.100001,50.8,54.5,58,61,63.7,61.4,no data
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.02378,22.159103,20.869959,20.655032,22.42556,25.454914,20.970682,25.052471,25.171278,26.658895,24.676617,28.105368,32.268036,32.784077,37.394351,40.885493,35.610874,35.385334,36.621482
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.565431,82.685029,78.022149,76.74738,73.349757,84.107591,114.90499,74.156532,110.59523,96.050252,60.840745,60.568578,57.827228,56.823012,52.068094,43.80071,40.842372,40.407906,36.421266,49.842358,42.379573,45.725985,47.312378,48.199762,48.722145,65.47491,79.591086,84.282138,64.752349
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.100214,2.047408,4.3199619,6.4054917,2.5570645,8.2538862,10.77341,13.316917,15.480621,14.104944,14.980639,14.366442,18.524363,17.075991,15.903778,13.740194,10.196556,7.9815777,17.668064,19.297205,18.609383,24.551498,2.2633476,15.256994,17.716678,24.382074,23.725819,18.412751,26.44971,25.840028,260.96417,210.24258,180.24365,159.45778,129.91412,75.730411,24.998568,21.93171,19.196275,20.522149,18.891961,20.803273,25.424792,27.087583,36.137416,62.259739,60.66736,65.523022,78.109917
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.655939,14.242603,15.38318,15.700895,15.632047,27.920044,27.101225,23.557028,19.276966,16.421998,14.645526,13.502219,15.731102,17.148573,22.810538,24.733125,23.858789,22.654256,25.13333,15.893328,20.493361,27.310853,28.462198,30.943128,25.012734,24.108942,24.642073,28.066883,37.360324,40.532953,42.479694,42.187269,33.139937,29.918451,27.539274,26.627194,26.415807,25.506014,30.761608,43.842662,no data,33.061351,39.436936,44.669659,61.076792,62.039359,49.565465,41.388587,37.198162,38.552653,40.286821,41.806235,54.164097,52.866019,37.057447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"©IMF, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
